Issue Type,Issue key,Issue id,Updated,Custom field (Epic Link),Created,Summary,Status,Resolution,Affects Version/s,Affects Version/s,Custom field (Story Points),Custom field (Epic Name),Labels,Labels,Labels,Labels,Labels,Labels,Labels,Component/s,Component/s,Custom field (Issue Resolution),Resolved,Sprint,Sprint,Custom field (Begin Date),Custom field (End Date),Fix Version/s,Fix Version/s,Outward issue link (Blocks),Outward issue link (Child-Issue),Outward issue link (Cloners),Outward issue link (Defect),Outward issue link (Dependent),Outward issue link (Dependent),Outward issue link (Gantt: finish-start),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates)
Story,AAKO-7702,1452634,07/Jun/18 8:20 AM,AAKO-4903,24/May/18 11:51 AM,Common Payment Process - Update JR metrics to Process Termed Participant,Open,,,,,,Recon-Direct,,,,,,,Lannister,,,,,,,,Recon - Direct ,Recon - Distributer,,,AAKO-162,,,,,,,
Story,AAKO-7683,1452609,01/Jun/18 9:53 AM,AAKO-4903,24/May/18 11:48 AM,"Common Payment Process - Update TRM, CMF, MIT and DPS Manager metrics to Process Termed Participant",Open,,Trauma,,,,DPS,,,,,,,Lannister,,,,AAKO-Lannister - C3,,,,Trauma,,,,AAKO-162,,,,,,,
Story,AAKO-7665,1451951,11/Jun/18 9:33 AM,,24/May/18 10:41 AM,PRM Expansion Category table - add Primary Geo Flag,Open,,Spine,,3.0,,Spine,,,,,,,Targaryen,,,,AAKO-Targaryen - C1,,,,Spine,,,,,,,,,,,
Story,AAKO-7660,1451939,05/Jun/18 12:18 PM,,24/May/18 10:18 AM,Update catalog,Completed,Done,Spine,,3.0,,FirstBU,,,,,,,Lannister,,Done,05/Jun/18 12:18 PM,Lannister - Bandhavgarh.4,,,,Spine,,,,,,,,,,,
Story,AAKO-7626,1451794,05/Jun/18 2:27 PM,AAKO-2277,24/May/18 9:44 AM,Harmonize the workflow from backend configuration perspective,Completed,Done,Spine,,3.0,,,,,,,,,Mormont,,Done,05/Jun/18 2:27 PM,AAKO - Mormont - Bandhavgarh.4,,,,Spine,,,,,,,,,,,
Story,AAKO-7515,1449853,01/Jun/18 3:48 PM,AAKO-4889,23/May/18 4:27 PM,Update Geography Entity to include a new level (5) to the entity and process,Completed,Done,Spine,,5.0,,Spine,,,,,,,Targaryen,,Done,01/Jun/18 3:48 PM,AAKO-Targaryen - Bandhavgarh.4,,,,Spine,,AAKO-7437,,,,,,,,,
Story,AAKO-7443,1446585,11/Jun/18 8:40 AM,AAKO-3982,22/May/18 3:29 PM,Story to test scenarios w/ current dependencies,Open,,Spine,,5.0,,,,,,,,,Stark,,,,AAKO - Stark - C.2,,,,Spine,,,,AAKO-6997,,AAKO-7839,,,,,
Story,AAKO-7440,1446005,06/Jun/18 6:52 PM,AAKO-3970,22/May/18 1:41 PM,"MITEK EI Quota - Ability to UL Zip Quotas w/ DDD # or IMS ID, Use INV Realign. to Apply Crediting Exception",Open,,MIT,,,,Mitek,,,,,,,Targaryen,,,,,,,,MIT,,,,,,,,,,,
Story,AAKO-7439,1445635,11/Jun/18 1:19 PM,AAKO-3963,22/May/18 10:59 AM,Update to Geo Crediting (EDPY) - for IC Graft ID update,Open,,MIT,,3.0,,Ethicon,,,,,,,Targaryen,,,,,,,,MIT,,,,,,,,,,,
Story,AAKO-7359,1431898,07/Jun/18 11:24 AM,AAKO-3983,16/May/18 11:10 AM,Statements: Release Process,Open,,Spine,,5.0,,Spine,,,,,,,Stark,,,,AAKO - Stark - IP Sprint,,,,Spine,,,,AAKO-7022,,,,,,,
Story,AAKO-7351,1425654,05/Jun/18 11:52 AM,AAKO-3977,14/May/18 5:53 PM,JnJ Draw missing Component Earning Adjustment,Completed,Done,Spine,,5.0,,Spine,,,,,,,Lannister,,Done,05/Jun/18 11:52 AM,Lannister - Bandhavgarh.4,,,,Spine,,,,,,,,,,,
Story,AAKO-7338,1424288,07/Jun/18 7:58 AM,AAKO-2277,14/May/18 10:14 AM,Detective/Audit Reporting - Portal Setup (Drill-Throughs/Links),Completed,Done,Spine,,8.0,,FirstBU,Spine,,,,,,Mormont,,Done,07/Jun/18 7:58 AM,AAKO - Mormont - Bandhavgarh.4,,,,Spine,,,,,,,,,,,
Story,AAKO-7336,1423992,12/Jun/18 7:42 AM,AAKO-2277,14/May/18 9:12 AM,Preventative Approvals - Harmonized  Announcement & Email Notifications,Open,,Spine,,13.0,,Spine,,,,,,,Mormont,,,,AAKO - Mormont - Corbett.4,,,,Spine,,,,,,,,,,,
Story,AAKO-7056,1413688,24/May/18 9:43 AM,AAKO-3983,09/May/18 12:36 PM,B.2 - Complete Portal View Testing for Remaining Internal Analyst Views,Completed,Done,Spine,,2.0,,Spine,,,,,,,Stark,,Done,24/May/18 9:43 AM,Stark - Bandhavgarh.3,,,,Spine,,,,AAKO-7021,,,,,,,
Story,AAKO-7036,1410727,29/May/18 1:01 PM,AAKO-2277,08/May/18 3:00 PM,Detective Reporting/Approvals - Approval Workflow & Notifications,Open,,Spine,,8.0,,Spine,,,,,,,Mormont,,,,AAKO - Mormont - Corbett.3,,,,Spine,,,,,,,,,,,
Story,AAKO-7028,1405815,01/Jun/18 9:53 AM,AAKO-3968,07/May/18 4:44 PM,[TEST] Quota Kicker - Year-End Sales>= Quota Bonus w/ 40% H1 Advance,Open,,MIT,,,,Mitek,,,,,,,Lannister,,,,AAKO-Lannister - C3,,,,MIT,,,,,,,,,,,
Story,AAKO-7026,1404630,07/Jun/18 4:07 PM,AAKO-3983,07/May/18 10:48 AM,B.4 Updates & Enhancements,Open,,Spine,,5.0,,Spine,,,,,,,Stark,,,,AAKO - Stark - C.1,,,,Spine,,,,AAKO-7022,,,,,,,
Story,AAKO-7022,1398773,06/Jun/18 9:52 AM,AAKO-3983,04/May/18 10:33 AM,B.3 Updates & Enhancements,Completed,Done,Spine,,5.0,,Spine,,,,,,,Stark,,Done,06/Jun/18 9:52 AM,Stark - Bandhavgarh.4,,,,Spine,,,,AAKO-7021,,,,,,,
Story,AAKO-7021,1398772,18/May/18 7:32 AM,AAKO-3983,04/May/18 10:31 AM,B.2 Updates & Enhancements,Completed,Done,Spine,,5.0,,Spine,,,,,,,Stark,,Done,18/May/18 7:32 AM,Stark - Bandhavgarh.3,,,,Spine,,,,AAKO-6310,,,,,,,
Story,AAKO-7020,1397021,08/Jun/18 9:54 AM,AAKO-2277,04/May/18 1:21 AM,Data Uploads - RAW Portal View + Remap Post: PRM-Zip to Geography,Open,,Spine,,2.0,,FirstBU,,,,,,,Mormont,,,,AAKO - Mormont - IP Sprint,,,,Spine,,,,AAKO-7016,,,,,,,
Story,AAKO-7019,1397020,11/Jun/18 2:02 PM,AAKO-2277,04/May/18 1:21 AM,Data Uploads - RAW Portal View + Remap Post: PRM-Shadow Hierarchy,In Progress,,Spine,,2.0,,FirstBU,,,,,,,Mormont,,,,AAKO - Mormont - IP Sprint,,,,Spine,,,,AAKO-7016,,,,,,,
Story,AAKO-7018,1397019,07/Jun/18 9:36 AM,AAKO-2277,04/May/18 1:21 AM,Data Uploads - RAW Portal View + Remap Post: PRM-Plan to Components,Open,,Spine,,2.0,,,,,,,,,Mormont,,,,AAKO - Mormont - Corbett.1,,,,Spine,,,,AAKO-7016,,,,,,,
Story,AAKO-7017,1397018,07/Jun/18 9:36 AM,AAKO-2277,04/May/18 1:20 AM,Data Uploads - RAW Portal View + Remap Post: PRM-Participant to Plan,Open,,Spine,,2.0,,,,,,,,,Mormont,,,,AAKO - Mormont - Corbett.1,,,,Spine,,,,AAKO-7016,,,,,,,
Story,AAKO-7016,1397017,11/Jun/18 2:02 PM,AAKO-2277,04/May/18 1:19 AM,Data Uploads - RAW Portal View + Remap Post: PRM-Geography Master,In Progress,,Spine,,2.0,,FirstBU,,,,,,,Mormont,,,,AAKO - Mormont - IP Sprint,,,,Spine,,,,AAKO-7014,,,,,,,
Story,AAKO-7015,1397016,08/Jun/18 9:54 AM,AAKO-2277,04/May/18 1:18 AM,Data Uploads - RAW Portal View + Remap Post: PRM-Geo Hierarchy,Open,,Spine,,2.0,,FirstBU,,,,,,,Mormont,,,,AAKO - Mormont - IP Sprint,,,,Spine,,,,AAKO-7014,,,,,,,
Story,AAKO-7014,1397014,08/Jun/18 9:54 AM,AAKO-2277,04/May/18 1:18 AM,Data Uploads - RAW Portal View + Remap Post: PRM-Customer to Geo Individual,Open,,Spine,,2.0,,FirstBU,,,,,,,Mormont,,,,AAKO - Mormont - IP Sprint,,,,Spine,,,,AAKO-7013,,,,,,,
Story,AAKO-7013,1397013,08/Jun/18 8:42 AM,AAKO-2277,04/May/18 1:16 AM,Data Uploads - RAW Portal View + Remap Post: PRM-Customer to Geography,Open,,Spine,,2.0,,,,,,,,,Mormont,,,,AAKO - Mormont - IP Sprint,,,,Spine,,,,,,,,,,,
Story,AAKO-6997,1392096,24/May/18 9:42 AM,AAKO-3982,02/May/18 10:30 AM,participant sales EDPY DTP,Completed,Done,Spine,,5.0,,PI-B,,,,,,,Stark,,Done,24/May/18 9:37 AM,Stark - Bandhavgarh.3,,,,Spine,,,,,,,,,,,
Story,AAKO-6994,1390263,01/Jun/18 9:55 AM,AAKO-28,01/May/18 1:46 PM,Participant -Dynamically credit Full Prior Year Sales for future months at processing month alignment,Open,,Spine,,,,,,,,,,,Lannister,,,,AAKO-Lannister - C1,,,,Spine,,,,,,,,,,,
Story,AAKO-6993,1390251,12/Jun/18 7:50 AM,AAKO-28,01/May/18 1:18 PM,Analyst View of Full Year Quota (With YTD Attainment) ,Open,,Spine,,3.0,,Spine,,,,,,,Mormont,,,,AAKO - Mormont - Corbett.2,,,,Spine,,,,,,AAKO-6990,AAKO-6697,,,,
Story,AAKO-6992,1390246,31/May/18 7:58 AM,AAKO-28,01/May/18 1:10 PM,GEO Dynamically credit quota for future months at processing month alignment (ED),Open,,MIT,,5.0,,ETH,MIT,,,,,,Targaryen,,,,AAKO-Targaryen - C1,,,,MIT,,,,,,,,,,,
Story,AAKO-6991,1390244,01/Jun/18 9:54 AM,AAKO-28,01/May/18 1:09 PM,Participant Credit quota for future months at processing month alignment (ED),Open,,MIT,,,,MIT,,,,,,,Lannister,,,,AAKO-Lannister - C3,,,,MIT,,,,,,AAKO-6992,,,,,
Story,AAKO-6990,1390243,01/Jun/18 9:55 AM,AAKO-28,01/May/18 1:07 PM,Participant Credit quota for future months at processing month alignment (SD),Open,,Spine,,,,Spine,,,,,,,Lannister,,,,AAKO-Lannister - C1,,,,Spine,,,,,,AAKO-6697,,,,,
Story,AAKO-6988,1389535,31/May/18 7:55 AM,AAKO-3963,01/May/18 11:16 AM,[PLACEHOLDER]  Apply changes needed post Invoice Number Harmonization,Open,,Spine,,3.0,,FirstBU,,,,,,,Targaryen,,,,AAKO-Targaryen - C2,,,,Spine,,,,,,AAKO-5987,AAKO-1299,,,,
Story,AAKO-6980,1389314,11/Jun/18 4:09 PM,AAKO-28,01/May/18 9:12 AM,Dynamically credit Baseline for future months at processing month alignment,Open,,MIT,,,,MIT,,,,,,,Targaryen,,,,,,,,MIT,,,,,,AAKO-6697,,,,,
Story,AAKO-6815,1376486,31/May/18 8:27 AM,AAKO-3968,24/Apr/18 1:32 PM,Extremity Specialist - True Up and Proration update (AAKO-415),Open,,Trauma,,,,,,,,,,,Targaryen,,,,,,,,Trauma,,,,,,AAKO-4638,AAKO-415,,,,
