Issue Type,Issue key,Issue id,Updated,Custom field (Epic Link),Created,Summary,Status,Resolution,Affects Version/s,Affects Version/s,Custom field (Story Points),Custom field (Epic Name),Labels,Labels,Labels,Labels,Labels,Labels,Labels,Component/s,Custom field (Issue Resolution),Resolved,Sprint,Sprint,Custom field (Begin Date),Custom field (End Date),Fix Version/s,Fix Version/s,Outward issue link (Blocks),Outward issue link (Child-Issue),Outward issue link (Cloners),Outward issue link (Defect),Outward issue link (Dependent),Outward issue link (Dependent),Outward issue link (Gantt: finish-start),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates)
Story,AAKO-8163,1503337,14/Jun/18 4:59 PM,AAKO-8074,14/Jun/18 4:58 PM,Data Uploads - RAW Portal View + Remap Post: Quota - RAW-Customer Monthly Quota (SPN),Open,,Spine,,2.0,,,,,,,,,Mormont,,,,,,,Spine,,,,,,,,,,,
Story,AAKO-8162,1503336,14/Jun/18 4:59 PM,AAKO-8074,14/Jun/18 4:58 PM,Data Uploads - RAW Portal View + Remap Post: Quota - RAW-Geography Monthly Quota (SPN),Open,,Spine,,2.0,,,,,,,,,Mormont,,,,,,,Spine,,,,,,,,,,,
Story,AAKO-8161,1503335,14/Jun/18 4:59 PM,AAKO-8074,14/Jun/18 4:58 PM,Data Uploads - RAW Portal View + Remap Post: Product - RAW-SPN-Prod Hierarchy Lifenet (SPN),Open,,Spine,,2.0,,,,,,,,,Mormont,,,,,,,Spine,,,,,,,,,,,
Story,AAKO-8160,1503334,14/Jun/18 4:59 PM,AAKO-8074,14/Jun/18 4:58 PM,Data Uploads - RAW Portal View + Remap Post: Product - Manual Product Upload (SPN),Open,,Spine,,2.0,,,,,,,,,Mormont,,,,,,,Spine,,,,,,,,,,,
Story,AAKO-8159,1503333,14/Jun/18 4:59 PM,AAKO-8074,14/Jun/18 4:58 PM,Data Uploads - RAW Portal View + Remap Post: Product - RAW-SPN-Crosswalk Hierarchy (SPN),Open,,Spine,,2.0,,,,,,,,,Mormont,,,,,,,Spine,,,,,,,,,,,
Story,AAKO-8158,1503332,14/Jun/18 4:59 PM,AAKO-8074,14/Jun/18 4:58 PM,Data Uploads - RAW Portal View + Remap Post: Product - RAW-ALN-Manual Product Upload (SPN),Open,,Spine,,2.0,,,,,,,,,Mormont,,,,,,,Spine,,,,,,,,,,,
Story,AAKO-8157,1503331,14/Jun/18 4:59 PM,AAKO-8074,14/Jun/18 4:58 PM,Data Uploads - RAW Portal View + Remap Post: Customer - Manual Customer Upload (SPN),Open,,Spine,,2.0,,,,,,,,,Mormont,,,,,,,Spine,,,,,,,,,,,
Story,AAKO-8156,1503330,14/Jun/18 4:59 PM,AAKO-8074,14/Jun/18 4:58 PM,Data Uploads - RAW Portal View + Remap Post: Customer - RAW-SPN-Lifenet Cust Crosswalk (SPN),Open,,Spine,,2.0,,,,,,,,,Mormont,,,,,,,Spine,,,,,,,,,,,
Story,AAKO-8155,1503329,14/Jun/18 4:59 PM,AAKO-8074,14/Jun/18 4:58 PM,Data Uploads - RAW Portal View + Remap Post: Customer - RAW-ALN-Manual Customer Upload (SPN),Open,,Spine,,2.0,,,,,,,,,Mormont,,,,,,,Spine,,,,,,,,,,,
Story,AAKO-8154,1503328,14/Jun/18 4:59 PM,AAKO-8074,14/Jun/18 4:58 PM,Data Uploads - RAW Portal View + Remap Post: Customer - RAW-ALN-Customer Account Xref (SPN),Open,,Spine,,2.0,,,,,,,,,Mormont,,,,,,,Spine,,,,,,,,,,,
Story,AAKO-8153,1503327,14/Jun/18 4:59 PM,AAKO-8074,14/Jun/18 4:58 PM,Data Uploads - RAW Portal View + Remap Post: Sales - RAW-MIT-Prod Hierarch Data (MIT),Open,,MIT,,2.0,,,,,,,,,Mormont,,,,,,,MIT,,,,,,,,,,,
Story,AAKO-8152,1503326,14/Jun/18 4:59 PM,AAKO-8074,14/Jun/18 4:58 PM,Data Uploads - RAW Portal View + Remap Post: Sales - RAW-MIT-MyVisco Tracings (MIT),Open,,MIT,,2.0,,,,,,,,,Mormont,,,,,,,MIT,,,,,,,,,,,
